"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"454","8973362","160",NULL,"Mission Hill","93","strict","Apartment","2"
"456","2754149","65","0.9","Mission Hill","96","flexible","Apartment","1"
"457","12707324","41","1","Mission Hill","100","flexible","Apartment","1"
"459","9824155","49",NULL,"Mission Hill","85","moderate","Apartment","1"
"460","13624971","35","1","Mission Hill","80","flexible","Apartment","1"
"461","9626892","72","1","Mission Hill","100","moderate","Townhouse","1"
"462","7562235","90",NULL,"Mission Hill","80","strict","Apartment","1"
"463","10478553","100","1","Mission Hill","100","strict","Apartment","1"
"467","5267396","170","1","Mission Hill","91","strict","Apartment","1"
"468","8184662","169","0.98","Mission Hill","40","strict","Apartment","1"
"469","12264207","150","0.94","Mission Hill","86","flexible","Apartment","2"
"472","13081347","56","1","Mission Hill","87","flexible","Apartment","1"
"473","6118583","140","1","Mission Hill","100","strict","Loft","1"
"474","6990023","88","0.91","Mission Hill","95","strict","Apartment","1"
"476","10328539","74","1","Mission Hill","93","moderate","House","1"
"479","7280665","40",NULL,"Mission Hill","100","strict","Apartment","1"
"482","13000520","80","1","Mission Hill","98","strict","Condominium","1"
"483","7050397","50",NULL,"Mission Hill","100","flexible","House","1"
"484","4687499","103",NULL,"Mission Hill","93","moderate","Apartment","1"
"487","13062783","42","0.9","Mission Hill","85","flexible","Apartment","1"
"488","7868931","169","0.98","Mission Hill","80","strict","Apartment","1"
"489","8442314","89","1","Mission Hill","84","flexible","House","1"
"491","12750816","150","0.94","Mission Hill","74","flexible","Apartment","2"
"492","8015793","200","1","Mission Hill","100","moderate","Loft","2"
"493","9998187","99","0.9","Mission Hill","93","strict","Apartment","1"
"494","14336348","99","1","Mission Hill","100","moderate","Apartment","1"
"495","4493030","272","0.96","Mission Hill","100","moderate","Apartment","2"
"496","13525610","85","1","Mission Hill","93","moderate","House","1"
"497","14339562","70","1","Mission Hill","80","flexible","House","1"
"499","4787213","109",NULL,"Mission Hill","90","strict","Apartment","1"
"501","8539551","79","1","Mission Hill","94","flexible","House","1"
